gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
3.9388,1.974,2.814013,25.36409484,-4.337767912,2,27,4,59.519,2.105,1.775,7.9328,0,7,0,19.441,0.205,0.775,1.8196
3.7455,1.8745,2.485758,38.62151124,-3.72898601,2,36,4.5,83.839,2.185,1.55,7.5614,0,16,0.5,43.761,0.125,0.55,1.4482
4.7263,3.0508,3.925535,43.14165914,-3.600714782,2,36,4.5,83.839,2.185,1.55,7.5614,0,16,0.5,43.761,0.125,0.55,1.4482
0.7466,0.1339,0.504397,28.87615919,-3.535178477,2,36,4.5,83.839,2.185,1.55,7.5614,0,16,0.5,43.761,0.125,0.55,1.4482
3.0084,1.4272,2.014363,31.26012391,-3.844391842,2,36,4.5,83.839,2.185,1.55,7.5614,0,16,0.5,43.761,0.125,0.55,1.4482
1.0863,0,1.268202,16.28257284,-3.078099262,2,28,3.5,64.2055,1.55,2.565,11.30595,0,20,1.5,48.2055,0.03,0.875,2.31215
2.5701,1.2225,2.720267,24.86675553,-2.622157437,2,32,4,72.2385,1.69,2.135,9.6769,0,16,1,40.1725,0.11,0.445,0.6831
2.4631,1.144,2.629061,24.85936751,-2.620355942,2,32,4,72.2385,1.69,2.135,9.6769,0,16,1,40.1725,0.11,0.445,0.6831
1.371,0.2442,1.702638,19.80110051,-2.482864647,2,32,4,72.2385,1.69,2.135,9.6769,0,16,1,40.1725,0.11,0.445,0.6831
1.8094,0.6522,1.999283,28.31687523,-2.34895004,2,41,4.5,95.6855,1.74,2.12,9.3731,0,7,0.5,16.7255,0.16,0.43,0.3793
1.7504,0.5944,1.930853,28.30606721,-2.348980742,2,41,4.5,95.6855,1.74,2.12,9.3731,0,7,0.5,16.7255,0.16,0.43,0.3793
1.92,0.7866,1.841997,34.31927672,-2.065552707,2,50,5,120.0055,1.82,1.895,9.0017,0,2,0,7.5945,0.24,0.205,0.0079
1.8382,0.7455,1.79495,34.30064976,-2.067837807,2,50,5,120.0055,1.82,1.895,9.0017,0,2,0,7.5945,0.24,0.205,0.0079
1.5161,0.4772,1.478925,22.92509321,-3.173533375,3,32,4,72.3225,1.86,1.995,7.89395,0,1,0,2.5995,0.01,0.185,1.89465
1.5573,0.4648,1.51013,22.92769966,-3.17873914,3,32,4,72.3225,1.86,1.995,7.89395,0,1,0,2.5995,0.01,0.185,1.89465
3.3727,1.8154,3.187459,11.73573748,-4.42033411,3,19,3,41.862,1.71,2.425,10.2667,0,12,1,27.861,0.16,0.615,4.2674
3.1553,1.6353,2.992185,11.74333814,-4.41214025,3,19,3,41.862,1.71,2.425,10.2667,0,12,1,27.861,0.16,0.615,4.2674
1.8594,0.6015,2.03131,9.508211835,-4.00711745,3,19,3,41.862,1.71,2.425,10.2667,0,12,1,27.861,0.16,0.615,4.2674
2.3766,1.3633,2.27085,20.49848908,-3.495079865,3,23,3.5,50.3485,1.835,2,8.243,0,8,0.5,19.3745,0.035,0.19,2.2437
2.4753,1.6455,2.515605,20.50771242,-3.50013207,3,23,3.5,50.3485,1.835,2,8.243,0,8,0.5,19.3745,0.035,0.19,2.2437
0.7863,0.0617,0.720056,28.74688423,-2.853448398,3,41,4.5,95.7365,1.965,1.93,7.30385,0,10,0.5,26.0135,0.095,0.12,1.30455
0.9185,0.0489,0.809646,28.78366363,-2.85822401,3,41,4.5,95.7365,1.965,1.93,7.30385,0,10,0.5,26.0135,0.095,0.12,1.30455
3.386,2.3564,3.213667,12.11143349,-5.363453848,4,19,3,42.3105,1.905,2.28,9.57985,0,13,1,30.2995,0.205,0.27,1.68045
2.5356,1.6284,2.444271,12.1254708,-5.36440864,4,19,3,42.3105,1.905,2.28,9.57985,0,13,1,30.2995,0.205,0.27,1.68045
0.3572,0,0.781177,16.10151106,-3.667681458,3,28,3.5,64.4105,1.74,2.41,10.16025,0,21,1.5,50.4095,0.19,0.63,4.37385
1.469,0.6388,1.549993,26.06732096,-3.131438393,3,32,4,72.897,1.865,1.985,8.13655,0,17,1,41.923,0.065,0.205,2.35015
1.3442,0.5692,1.489598,26.07921129,-3.13334083,3,32,4,72.897,1.865,1.985,8.13655,0,17,1,41.923,0.065,0.205,2.35015
7.9318,4.7657,8.573366,38.45920801,-3.134272628,1,18,3.5,37.2755,2.25,1.99,8.65415,0,1,0.5,1.8225,0.5,1.17,4.31345
8.2731,4.7791,8.846265,42.9347954,-3.080367895,1,18,3.5,37.2755,2.25,1.99,8.65415,0,1,0.5,1.8225,0.5,1.17,4.31345
8.2173,5.0462,7.668463,26.65491145,-3.099361835,1,18,3.5,37.2755,2.25,1.99,8.65415,0,1,0.5,1.8225,0.5,1.17,4.31345
8.4785,5.1798,8.134948,31.12739749,-3.175775345,1,18,3.5,37.2755,2.25,1.99,8.65415,0,1,0.5,1.8225,0.5,1.17,4.31345
9.3322,5.2719,10.091089,23.53637244,-3.781320088,1,14,3,29.048,2.11,2.4,10.88175,0,5,1,10.05,0.64,1.58,6.54105
9.3875,5.0717,10.097176,25.9776851,-3.728735195,1,14,3,29.048,2.11,2.4,10.88175,0,5,1,10.05,0.64,1.58,6.54105
10.8879,6.5505,9.545929,16.56163309,-3.709623935,1,14,3,29.048,2.11,2.4,10.88175,0,5,1,10.05,0.64,1.58,6.54105
10.3911,6.0756,9.919758,19.32936315,-3.818055485,1,14,3,29.048,2.11,2.4,10.88175,0,5,1,10.05,0.64,1.58,6.54105
6.2057,3.73,6.192767,57.91140704,-2.552769455,1,36,4.5,83.001,2.365,1.74,7.396,0,17,0.5,43.903,0.385,0.92,3.0553
6.7212,3.9473,6.510299,61.46515846,-2.50385214,1,36,4.5,83.001,2.365,1.74,7.396,0,17,0.5,43.903,0.385,0.92,3.0553
